region,deadline_time_exact,preparation_status,preparation_start_date,preparation_days,priority_tier,deadline_label,participation_deadline,days_left,commercial_score,urgency,opportunity_type,category,buyer_segments,title,source_name,url
横浜市,True,準備開始推奨,2026-08-23,10,最優先,残り7日,2026-09-02,7,87,52,受注機会,入札・調達,士業・補助金支援 / 入札・公共調達,【公募型プロポーザル】横浜市青葉区の居住に関する魅力記事制作掲載業務委託,横浜市 入札・契約,https://www.city.yokohama.lg.jp/business/nyusatsu/kakukukyoku/2026/itaku/aoba/miryoku_kiji.html
相模原市,True,準備開始推奨,2026-08-25,10,高優先,残り9日,2026-09-04,9,87,52,受注機会,入札・調達,士業・補助金支援 / 入札・公共調達,令和8年度人権の集いさがみはら業務委託に係る公募型プロポーザルの実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/sangyo/1026667/1036079.html
相模原市,True,準備開始推奨,2026-08-25,10,高優先,残り9日,2026-09-04,9,87,52,受注機会,入札・調達,士業・補助金支援 / 入札・公共調達,相模原市次期児童相談業務支援システム導入業務委託に係る公募型プロポーザルの実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/sangyo/1026667/1036091.html
横浜市,True,準備開始前,2026-08-29,10,高優先,残り13日,2026-09-08,13,87,52,受注機会,入札・調達,士業・補助金支援 / 入札・公共調達,【公募型プロポーザル】横浜市立市民病院医事業務委託について,横浜市 入札・契約,https://www.city.yokohama.lg.jp/business/nyusatsu/kakukukyoku/2027/itaku/byoin/2026ijiitaku.html
相模原市,False,準備開始推奨,2026-08-24,10,受付中,残り8日,2026-09-03,8,69,34,受注機会,入札・調達,不動産・建設 / 入札・公共調達,特定建築物定期点検業務委託（本庁舎）に係る条件付き一般競争入札の実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/sangyo/1026667/1036087.html
相模原市,False,準備開始推奨,2026-08-17,10,受付中,明日締切,2026-08-27,1,61,34,受注機会,入札・調達,入札・公共調達,浚渫等委託に係る条件付一般競争入札の実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/sangyo/1026667/1036053.html
相模原市,False,準備開始推奨,2026-08-17,10,受付中,明日締切,2026-08-27,1,61,34,受注機会,入札・調達,入札・公共調達,産業廃棄物（廃蛍光管類）処理業務委託に係る条件付き一般競争入札の実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/sangyo/1026667/1036067.html
相模原市,True,準備開始推奨,2026-08-17,14,受付中,残り5日,2026-08-31,5,61,28,受注機会,補助金・支援,士業・補助金支援 / 入札・公共調達,相模原市営自動車駐車場の次期指定管理者公募に向けたサウンディング型市場調査の実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/shisei/1026766/seido/1026770/1026024/1035934.html
相模原市,True,準備開始推奨,2026-08-17,14,受付中,残り5日,2026-08-31,5,61,28,受注機会,補助金・支援,士業・補助金支援 / 入札・公共調達,相模原市営自転車駐車場の次期指定管理者公募に向けたサウンディング型市場調査の実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/shisei/1026766/seido/1026770/1026024/1035933.html
相模原市,False,準備開始推奨,2026-08-22,10,受付中,残り6日,2026-09-01,6,61,34,受注機会,入札・調達,入札・公共調達,相模原市下水道施設地震対策事業計画見直し業務委託に係る条件付一般競争入札の実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/sangyo/1026667/1036062.html
相模原市,False,準備開始推奨,2026-08-23,10,受付中,残り7日,2026-09-02,7,61,34,受注機会,入札・調達,入札・公共調達,地盤変動影響調査業務委託【上鶴間地区（その2）ほか】に係る条件付一般競争入札の実施について,相模原市 新着更新情報,https://www.city.sagamihara.kanagawa.jp/sangyo/1026667/1036074.html
横浜市,True,準備開始推奨,2026-08-24,7,受付中,残り5日,2026-08-31,5,59,52,資金・支援,補助金・支援,士業・補助金支援 / 法人営業,【第１期申請受付中】【中東情勢の変化や米国の関税措置等による影響を受ける市内中小企業が対象】展示会出展費用助成金の募集を開始します,横浜市 中小企業支援,https://www.city.yokohama.lg.jp/business/kigyoshien/keieishien/kaihatsu/tenjikai/tennjikaijyosei.html
