designation_date,field,authority,municipality,office_number,office_name,services,corporation,address,phone,fax,website,corporate_number,sales_themes,contact_status,source_url,contact_source_url,source_type
2026-07-01,障害福祉,神奈川県,藤沢市,1412203893,ａｏｓｏｒａ湘南台,就労継続支援（Ｂ型）,一般社団法人ａｏｓｏｒａ,神奈川県藤沢市湘南台一丁目１番地の６湘南台駅前クリニックビル５階Ａ号室,0466-21-9254,,,,ICT・請求 / 求人・人材 / 物件・設備,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,神奈川県,茅ケ崎市,1412402040,ＰＬＡＹ ＷＯＲＫＳ リノア 茅ヶ崎,生活介護,特定非営利活動法人ｌａｕｌｅ’ａ,神奈川県茅ケ崎市萩園１６０２,090-9801-9831,,,,ICT・請求 / 求人・人材,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,神奈川県,茅ケ崎市,1452400854,ＰＬＡＹ ＷＯＲＫＳ リノア 茅ヶ崎,放課後等デイサービス,特定非営利活動法人ｌａｕｌｅ’ａ,神奈川県茅ケ崎市萩園１６０２,0467-37-6042,,,,ICT・請求,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,横浜市,横浜市港北区,1410902157,ＬＩＴＡＬＩＣＯテラス 新横浜,自立訓練（生活訓練）,株式会社ＬＩＴＡＬＩＣＯパートナーズ,神奈川県横浜市港北区新横浜2-2-3 新横浜第１竹生ビル６Ｆ,045-534-5412,045-534-5413,,,ICT・請求,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=14100&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=14100&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,横浜市,横浜市中区,1410402794,ＩＴ就労移行シフトＡＩ 関内,就労移行支援（一般型）,株式会社Ｔｒａｃｔｉｏｎ,神奈川県横浜市中区長者町3-8-13 ＴＫ関内プラザ205,045-305-3023,050-3488-8849,,,ICT・請求 / 求人・人材 / 物件・設備,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=14100&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=14100&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,神奈川県,藤沢市,1452201534,ＨＡＢＩＬＩＳ湘南辻堂,児童発達支援 / 放課後等デイサービス,株式会社ＨＡＢＩＬＩＳ,神奈川県藤沢市辻堂神台２丁目２番２号 CoccoTerrace湘南５階,045-482-4929,,,,ICT・請求,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,神奈川県,秦野市,1412801837,Ｃｏｃｏｒｐｏｒｔ 秦野駅前Ｏｆｆｉｃｅ,就労定着支援,株式会社ココルポート,神奈川県秦野市本町１－１－６ クレアーレＭＫビル５階,0463-63-4308,,,,ICT・請求 / 求人・人材 / 物件・設備,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,横浜市,横浜市泉区,1413601814,ＡＮＥＬＬＡ ＣＡＦＥ 相鉄ライフ緑園都市店,就労継続支援（Ｂ型）,Ａネクストワークス株式会社,神奈川県横浜市泉区緑園4-1-2 相鉄緑園都市共同ビルＣ棟 １階 107号,045-719-9188,045-719-9189,,,ICT・請求 / 求人・人材 / 物件・設備,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=14100&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=14100&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,神奈川県,大和市,1423002219,ＡＬＬ ＦＯＲ ＯＮＥ,共同生活援助,株式会社ＡＬＬ ＦＯＲ ＯＮＥ,神奈川県大和市上和田１８６番地５,080-5983-6102,,,,ICT・請求 / 求人・人材 / 物件・設備,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,横浜市,横浜市保土ケ谷区,1410602039,Ａ－Ｓｍｉｌｅ西谷,居宅介護,株式会社アカリエ,神奈川県横浜市保土ケ谷区西谷3-24-2 パンテオン西谷203,045-286-6180,045-286-6388,,,ICT・請求,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=14100&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=14100&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,神奈川県,鎌倉市,1422101665,陽だまりホームかまくら,共同生活援助,ミライトラスト合同会社,神奈川県鎌倉市常盤３６２－７,090-2236-0276,,,,ICT・請求 / 求人・人材 / 物件・設備,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=140007&month=202607,公式月別新規指定一覧
2026-07-01,障害福祉,相模原市,相模原市中央区,1432609681,計画相談支援事業所こるく,計画相談支援,合同会社輪らび,神奈川県相模原市中央区田名３５８５番地５,042-707-2333,042-707-2343,,,ICT・請求,電話確認済,https://shougai.rakuraku.or.jp/new-office/list.html?city=14150&month=202607,https://shougai.rakuraku.or.jp/new-office/list.html?city=14150&month=202607,公式月別新規指定一覧
2026-08-01,介護,横浜市,横浜市青葉区,1473704706,つながりケアプランニング,介護予防支援,株式会社ネクサスリング,横浜市青葉区すみよし台27番地20,045-508-9338,045-508-9051,https://tsunagari-group.com/kyotakukaigo,7020001128212,ICT・請求,電話確認済,https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/koreisha-kaigo/shisetsu/zaitaku-zigyosya/itiran.files/0131_20260731.pdf,https://www.mhlw.go.jp/stf/kaigo-kouhyou_opendata.html,公式新規指定一覧
2026-05-01,介護,横浜市,横浜市鶴見区,1470104322,若武者ケア聖火 鶴見事業所,横浜市訪問介護相当サービス,株式会社若武者ケア横浜北部,横浜市鶴見区佃野町29番34号,045-834-9912,045-834-9929,https://www.wakamusha-care.jp/,3020001101775,ICT・請求 / 求人・人材 / 車両・移動,電話確認済,https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/koreisha-kaigo/shisetsu/zaitaku-zigyosya/itiran.files/0131_20260731.pdf,https://www.mhlw.go.jp/stf/kaigo-kouhyou_opendata.html,公式新規指定一覧
2026-05-01,介護,横浜市,横浜市保土ケ谷区,1460690206,看護クラーク保土ヶ谷,介護予防訪問看護,株式会社シーユーシー・ホスピス,横浜市保土ケ谷区東川島町16番地10,045-370-3061,045-370-3062,http://cuc-hospice.com,3010001182016,ICT・請求 / 求人・人材 / 車両・移動 / 医療・衛生,電話確認済,https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/fukushi-kaigo/koreisha-kaigo/shisetsu/zaitaku-zigyosya/itiran.files/0131_20260731.pdf,https://www.mhlw.go.jp/stf/kaigo-kouhyou_opendata.html,公式新規指定一覧
